generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.44715,0.44,2.0438384867246655,424.49,14,15,18,11,14,9,12,7
1,0.37945,0.39666666666666667,1.9653227256518944,398.79,19,15,11,6,22,7,15,5
2,0.321,0.34333333333333327,1.798374971752254,360.52,26,13,7,3,26,8,16,1
3,0.26905,0.3,1.6738073676247367,330.49,36,10,4,3,26,4,15,2
4,0.2741,0.30666666666666664,1.6696937541156405,328.5,37,10,5,1,22,4,18,3
5,0.26425,0.30666666666666664,1.6178259446621983,322.65,38,7,4,1,25,3,18,4
6,0.2149,0.32,1.5445016830982192,300.26,37,1,5,2,29,2,19,5
7,0.2207,0.34333333333333327,1.5053549797152301,302.92,30,0,11,0,32,1,20,6
8,0.26075,0.36,1.5549271103620155,318.75,26,1,9,1,33,2,25,3
9,0.33505,0.42,1.6736513365804386,347.13,19,0,13,1,29,6,26,6
10,0.43225,0.48,1.69713651506583,382.35,13,0,10,5,28,4,32,8
11,0.47245,0.4933333333333333,1.5663923980167285,397.21,10,0,12,4,27,1,39,7
12,0.6057,0.5633333333333332,1.4216759869798739,450.92,6,0,8,6,20,0,51,9
13,0.772,0.6366666666666666,1.2319092559873577,520.08,1,0,7,8,10,1,63,10
14,0.8022,0.65,1.2067629557107753,536.02,1,0,7,4,9,2,64,13
15,0.90035,0.6966666666666665,1.0628832334604856,569.91,1,0,1,4,5,4,68,17
16,0.8648,0.6833333333333332,0.9755951353373051,555.16,0,0,0,3,9,4,70,14
17,0.8431,0.6866666666666665,0.9961155042854826,545.08,0,0,0,3,10,3,68,16
18,0.84975,0.6866666666666665,1.077279614594607,554.09,1,1,1,1,6,6,68,16
19,0.8224,0.6433333333333333,1.0226326668983492,538.36,3,2,3,0,6,3,73,10
20,0.87365,0.6666666666666665,0.9083629187685696,559.09,0,3,3,1,3,4,77,9
21,0.8616,0.67,1.0236451250919878,551.1,1,1,4,1,5,3,72,13
22,0.877,0.6933333333333332,0.9497193840506147,556.12,2,0,2,0,5,2,70,19
23,0.8051,0.6833333333333332,0.8806980908278259,524.38,1,0,1,0,10,0,70,18
24,0.9265,0.7133333333333333,0.734949277460017,572.7,1,0,1,0,3,0,75,20
25,0.9261,0.7166666666666666,0.7644703639678525,576.54,0,0,4,0,2,0,73,21
26,0.94495,0.7366666666666666,0.885469256659763,586.97,0,0,4,1,1,1,67,26
27,0.94035,0.7133333333333333,0.8114849574858571,584.09,0,0,3,0,1,4,74,18
28,0.90645,0.7033333333333333,0.7904189708758292,573.57,0,0,3,0,2,3,76,16
29,0.90695,0.69,0.7001887244538998,569.15,0,0,3,0,3,1,80,13
30,0.98175,0.72,0.6589444975225023,596.35,0,0,2,2,0,0,78,18
31,0.9619,0.7133333333333333,0.7774724663535544,591.9,0,0,4,2,0,1,75,18
32,0.93175,0.6866666666666665,0.8692354164481282,583.01,0,1,5,3,0,3,76,12
33,0.86415,0.68,1.0078579028315928,557.83,1,1,3,3,3,3,73,13
34,0.89025,0.69,1.0699968912648634,567.27,1,2,2,3,2,5,70,15
35,0.8731,0.6733333333333333,0.9872887756980366,557.86,0,2,4,4,5,0,72,13
36,0.93105,0.6966666666666665,0.6832595398266077,577.55,0,0,2,1,3,0,80,14
37,0.93565,0.68,0.5212295248010193,579.29,0,0,4,0,1,0,86,9
38,0.9629,0.69,0.5321897692994584,589.7,0,0,3,0,1,0,85,11
39,0.9631,0.6866666666666665,0.453500633671811,588.78,0,0,2,0,1,0,88,9
40,0.9437,0.6833333333333332,0.4943540235719459,581.06,0,0,2,0,2,0,87,9
41,0.9849,0.7,0.4623797696213158,596.98,0,0,2,0,0,0,86,12
42,0.9706,0.6933333333333332,0.4348552799438651,590.28,0,0,1,0,1,0,88,10
43,0.9806,0.6833333333333332,0.28234708919888,592.28,0,0,0,0,1,0,93,6
44,0.966,0.6933333333333332,0.4209923363336662,587.44,0,0,0,0,2,0,88,10
45,0.93155,0.6733333333333333,0.4820787665381555,576.71,0,0,2,0,3,0,88,7
46,0.9343,0.68,0.4658000972488395,575.34,0,0,1,0,3,0,88,8
47,0.9925,0.6866666666666665,0.30891098466610234,598.5,0,0,1,0,0,0,92,7
48,1.0,0.6966666666666665,0.30253782309549804,600.0,0,0,0,0,0,0,91,9
49,0.9706,0.6966666666666665,0.4560616427467828,590.28,0,0,1,0,1,0,87,11
50,0.9654,0.69,0.47570866984400006,590.2,0,0,2,0,1,0,87,10
51,0.9032,0.6666666666666665,0.6438335372220733,565.88,0,0,7,0,2,0,82,9
52,0.90095,0.68,0.7414455590022613,569.51,0,0,5,1,2,1,80,11
53,0.94275,0.7066666666666666,0.737831739644019,582.57,0,0,5,0,0,2,76,17
54,0.9137,0.69,0.7223501339544169,572.44,0,0,3,0,1,5,80,11
55,0.90405,0.68,0.7206229508452089,569.83,0,0,2,0,3,5,81,9
56,0.85275,0.68,0.9187555450393345,552.81,0,0,3,0,6,5,73,13
57,0.8742,0.6966666666666665,0.996676455775028,558.36,0,0,2,0,6,7,68,17
58,0.8544,0.69,1.0581215709528362,550.3,0,0,2,1,7,7,67,16
59,0.88215,0.69,0.8599474892120744,557.55,0,0,0,0,7,6,73,14
60,0.89165,0.6866666666666665,0.8734905500319476,561.65,1,0,1,0,6,3,74,15
61,0.89695,0.6866666666666665,0.8173678077391365,562.31,0,0,0,1,8,2,75,14
62,0.9171,0.6766666666666665,0.5710602617806386,568.88,0,0,0,0,7,0,83,10
63,0.91705,0.66,0.4493400256790769,567.95,1,0,0,0,5,0,89,5
64,0.92155,0.6633333333333333,0.6062416871679503,571.73,2,0,0,1,3,2,86,6
